11:32:50:310[MetricValue{metricKey='load1', value='1.760000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.650000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.380000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:02:305[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.750000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.410000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:02:855[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.750000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.410000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:03:408[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.750000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.410000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:03:974[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.750000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.410000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:04:529[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.750000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.410000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:05:108[MetricValue{metricKey='load1', value='2.420000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.850000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.450000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:05:676[MetricValue{metricKey='load1', value='2.420000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.850000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.450000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:06:279[MetricValue{metricKey='load1', value='2.420000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.850000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.450000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:06:866[MetricValue{metricKey='load1', value='2.420000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.850000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.450000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:07:419[MetricValue{metricKey='load1', value='2.420000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.850000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.450000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
