11:33:14:601[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319388.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287353856.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:21:252[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319482.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287738880.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:21:809[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319482.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287738880.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:22:380[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319482.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287738880.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:22:942[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319482.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287738880.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:23:520[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319482.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287738880.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:24:093[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319482.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287738880.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:24:676[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319482.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287738880.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:25:270[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319551.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2288021504.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:25:856[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319551.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2288021504.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:26:417[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319551.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2288021504.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:27:013[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319551.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2288021504.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:27:648[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319551.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2288021504.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:28:236[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319557.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2288119808.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:28:808[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319557.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2288119808.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:29:403[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319557.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2288119808.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
